,0бу,90бу
-1,5614.7165 ,5617.4412 
-0.9,5615.0473 ,5617.2299 
-0.8,5615.3775 ,5617.0161 
-0.7,5615.7067 ,5616.7996 
-0.6,5616.0356 ,5616.5809 
-0.5,5616.3636 ,5616.3594 
-0.4,5616.6907 ,5616.1354 
-0.3,5617.0181 ,5615.9093 
-0.2,5617.3424 ,5615.6808 
-0.1,5617.6686 ,5615.4474 
0,5618.0002 ,5615.2222 
0.1,5618.3166 ,5614.9769 
0.2,5618.6383 ,5614.7397 
0.3,5618.9619 ,5614.4977 
0.4,5619.2825 ,5614.2532 
0.5,5619.6032 ,5614.0068 
0.6,5619.9230 ,5613.7579 
0.7,5620.2419 ,5613.5061 
0.8,5620.5603 ,5613.2522 
0.9,5620.8779 ,5612.9957 
1,5621.1945 ,5612.7367 
